,URL,Date,Rent,Bedrooms,Bathrooms,Area,Distance,Rent_bucket
947,https://boston.craigslist.org/gbs/apa/d/somerville-beautiful-apt-near-harvard-sq/7506085517.html,Thu 07 Jul 08:37:48 PM,3200.0,2,1.0,1000.0,3.94931,"(2520, 3300]"
949,https://boston.craigslist.org/gbs/apa/d/boston-direct-access-to-lo-presti-park/7506035751.html,Thu 07 Jul 06:19:53 PM,3137.0,1,1.0,572.0,1.77868,"(2520, 3300]"
951,https://boston.craigslist.org/gbs/apa/d/cambridge-1bd-1ba-apartment-for-rent/7506014995.html,Thu 07 Jul 05:30:10 PM,2776.0,1,1.0,775.0,6.16815,"(2520, 3300]"
952,https://boston.craigslist.org/gbs/apa/d/medford-floors-19-burget-ave-medford/7505998245.html,Thu 07 Jul 04:53:27 PM,3300.0,3,2.0,1600.0,5.94596,"(2520, 3300]"
953,https://boston.craigslist.org/gbs/apa/d/brighton-2nd-floor-studio-no-fee-avail/7505995899.html,Thu 07 Jul 04:48:18 PM,1950.0,0,1.0,350.0,5.07999,"(795, 2520]"
955,https://boston.craigslist.org/gbs/apa/d/cambridge-beautiful-top-floor-cambridge/7505930597.html,Thu 07 Jul 02:36:47 PM,2850.0,1,1.0,535.0,4.60567,"(2520, 3300]"
956,https://boston.craigslist.org/gbs/apa/d/cambridge-gorgeous-cambridge-bedroom/7505927474.html,Thu 07 Jul 02:30:59 PM,2795.0,1,1.0,535.0,4.60567,"(2520, 3300]"
957,https://boston.craigslist.org/gbs/apa/d/somerville-incredible-4br-2ba-in/7505921448.html,Thu 07 Jul 02:19:32 PM,4500.0,4,2.0,1448.0,4.01651,"(3300, 5100]"
958,https://boston.craigslist.org/gbs/apa/d/boston-exquisite-charles-street-studio/7505920220.html,Thu 07 Jul 02:17:19 PM,2200.0,0,1.0,450.0,1.65292,"(795, 2520]"
959,https://boston.craigslist.org/gbs/apa/d/boston-exquisite-charles-street-studio/7505919877.html,Thu 07 Jul 02:16:43 PM,2200.0,0,1.0,450.0,1.65292,"(795, 2520]"
961,https://boston.craigslist.org/gbs/apa/d/brighton-sunny-open-utilities-included/7505894043.html,Thu 07 Jul 01:28:22 PM,2500.0,2,1.0,800.0,5.23182,"(795, 2520]"
962,https://boston.craigslist.org/gbs/apa/d/chelsea-section-welcome-heat-and-hot/7505879070.html,Thu 07 Jul 01:00:56 PM,2400.0,2,1.0,1000.0,3.58856,"(795, 2520]"
963,https://boston.craigslist.org/gbs/apa/d/somerville-great-porter-square/7505865286.html,Thu 07 Jul 12:35:48 PM,3700.0,3,1.0,1392.0,4.72056,"(3300, 5100]"
965,https://boston.craigslist.org/gbs/apa/d/cambridge-prime-porter-square-cambridge/7505850523.html,Thu 07 Jul 12:09:37 PM,3600.0,4,1.0,925.0,4.76437,"(3300, 5100]"
966,https://boston.craigslist.org/gbs/apa/d/roslindale-apartment-for-rent/7505847218.html,Thu 07 Jul 12:04:01 PM,2500.0,2,1.0,850.0,6.07808,"(795, 2520]"
969,https://boston.craigslist.org/gbs/apa/d/brighton-brighton-luxury-condo-for-rent/7505757912.html,Thu 07 Jul 11:10:22 AM,2725.0,2,1.0,765.0,5.75577,"(2520, 3300]"
970,https://boston.craigslist.org/gbs/apa/d/roslindale-avail-1-top-floor-roslindale/7505811574.html,Thu 07 Jul 10:56:10 AM,2500.0,2,1.0,950.0,6.56989,"(795, 2520]"
971,https://boston.craigslist.org/gbs/apa/d/somerville-superior-somerville-studio/7505769145.html,Thu 07 Jul 09:15:26 AM,2175.0,0,1.0,405.0,4.25884,"(795, 2520]"
972,https://boston.craigslist.org/gbs/apa/d/somerville-chic-somerville-studio-ht-hw/7505768624.html,Thu 07 Jul 09:13:58 AM,2285.0,0,1.0,405.0,4.25884,"(795, 2520]"
973,https://boston.craigslist.org/gbs/apa/d/medford-ready-31-gut-renovation-br-bath/7505745489.html,Thu 07 Jul 07:42:56 AM,3600.0,3,1.0,1100.0,5.92117,"(3300, 5100]"
976,https://boston.craigslist.org/gbs/apa/d/dorchester-3rd-floor-apartment-with/7505690765.html,Wed 06 Jul 10:46:13 PM,2900.0,3,1.0,1000.0,2.7249,"(2520, 3300]"
978,https://boston.craigslist.org/gbs/apa/d/jamaica-plain-fantastic-studio-with/7505659011.html,Wed 06 Jul 08:49:26 PM,1800.0,0,1.0,400.0,3.77819,"(795, 2520]"
979,https://boston.craigslist.org/gbs/apa/d/boston-waterfront-lovers-dream-new/7505645271.html,Wed 06 Jul 08:08:13 PM,5088.0,2,2.0,1085.0,0.29013,"(3300, 5100]"
980,https://boston.craigslist.org/gbs/apa/d/south-boston-bedroom-apt-on-broadway/7505626566.html,Wed 06 Jul 07:16:23 PM,2900.0,2,1.0,1200.0,0.7931,"(2520, 3300]"
981,https://boston.craigslist.org/gbs/apa/d/winthrop-huge-apt-eik-dw-disposal-229/7505622596.html,Wed 06 Jul 07:05:54 PM,2300.0,2,1.0,1100.0,3.93311,"(795, 2520]"
983,https://boston.craigslist.org/gbs/apa/d/boston-italian-cabinetry-floor-to/7505607507.html,Wed 06 Jul 06:28:04 PM,3513.0,0,1.0,514.0,1.00325,"(3300, 5100]"
984,https://boston.craigslist.org/gbs/apa/d/boston-deposit-free-with-rhino-balcony/7505605902.html,Wed 06 Jul 06:23:56 PM,3097.0,0,1.0,562.0,0.29013,"(2520, 3300]"
985,https://boston.craigslist.org/gbs/apa/d/boston-grilling-stations-fireplace/7505604361.html,Wed 06 Jul 06:19:57 PM,4451.0,2,2.0,912.0,1.77868,"(3300, 5100]"
986,https://boston.craigslist.org/gbs/apa/d/cambridge-stunning-top-floor-modern/7505596297.html,Wed 06 Jul 06:00:25 PM,3025.0,1,1.0,586.0,4.60567,"(2520, 3300]"
987,https://boston.craigslist.org/gbs/apa/d/somerville-gut-reno-laundry-in-unit/7505590877.html,Wed 06 Jul 05:47:45 PM,4400.0,4,2.0,1450.0,5.83117,"(3300, 5100]"
988,https://boston.craigslist.org/gbs/apa/d/cambridge-apartment-for-near-porter-sq/7505584455.html,Wed 06 Jul 05:33:05 PM,3000.0,2,1.0,1200.0,4.70543,"(2520, 3300]"
989,https://boston.craigslist.org/gbs/apa/d/boston-stunning-top-floor-south-boston/7505579889.html,Wed 06 Jul 05:23:04 PM,3875.0,2,1.0,823.0,0.37458,"(3300, 5100]"
991,https://boston.craigslist.org/gbs/apa/d/watertown-by-owner-br-15-bath-hard-wood/7505565247.html,Wed 06 Jul 04:51:26 PM,3650.0,2,1.5,1100.0,7.12071,"(3300, 5100]"
992,https://boston.craigslist.org/gbs/apa/d/roslindale-sunny-spacious-bed/7505551524.html,Wed 06 Jul 04:23:16 PM,2850.0,2,1.0,1500.0,6.5575,"(2520, 3300]"
993,https://boston.craigslist.org/gbs/apa/d/boston-south-boston-top-floor-2br/7505546397.html,Wed 06 Jul 04:13:02 PM,3450.0,2,2.0,1500.0,0.89937,"(3300, 5100]"
